구분,요존,불요존,타부처,도유림,군유림,사유림, 요존 , 불요존 , 타부처 , 도유림 , 군유림 , 사유림 ,평균임목축적
전국,1481839,28508,142389,167756,315446,4162196,273658047,4691799,22495707,29170149,54586415,655845156,165.2
광주광역시,,,1120,884,24,16245,,,153091,144730,4025,2399305,147.82
동구,,,186,193,1,2831,,,26419,30536,193,421036,148.92
서구,,,21,21,2,732,,,1908,3241,171,101495,137.65
남구,,,16,35,3,1690,,,2167,5862,453,245847,145.83
북구,,,205,586,7,4451,,,28125,97360,1188,650629,148.09
광산구,,,692,49,11,6541,,,94472,7731,2020,980298,148.71
