년(Annual),시도,시군구,계,계,전,전,답,답,과수원,과수원,목장용지,목장용지,임야,임야,광천지,광천지,염전,염전,대,대,공장용지,공장용지,학교용지,학교용지,주차장,주차장,주유소용지,주유소용지,창고용지,창고용지,도로,도로,철도용지,철도용지,제방,제방,하천,하천,구거,구거,유지,유지,양어장,양어장,수도용지,수도용지,공원,공원,체육용지,체육용지,유원지,유원지,종교용지,종교용지,사적지,사적지,묘지,묘지,잡종지,잡종지
년(Annual),시도,시군구,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수
2017,서울,서대문구,17626255.3,44227,79466,271,4581,25,0,0,0,0,4669677.6,1234,0,0,0,0,7175221,34264,0,0,2192293.9,311,19363.9,52,10399.7,22,0,0,2163468.7,6734,210619.4,216,3061,1,435978.2,226,72307.5,322,0,0,0,0,22799,15,422222.1,273,0,0,0,0,70369.4,62,119,2,56643,32,17664.9,165
2017,서울,마포구,23852112.1,44795,313924.1,688,107040,284,0,0,0,0,380950.6,230,0,0,0,0,8577144.8,32550,17024.7,1,706251.8,90,39472.6,45,12050.6,26,0,0,3471521.8,7812,573972.3,779,222786.4,175,5755138.1,1226,90653.4,261,88218.3,13,0,0,10150,10,2723115.4,270,0,0,6502.4,1,84961.9,90,0,0,10463,21,660769.9,223
2017,서울,양천구,17406811.5,23661,101900,67,13740,58,0,0,0,0,1094627.8,202,0,0,0,0,8655356.7,19481,6885.4,3,791657.4,113,180165.1,44,40337.5,43,0,0,3105446,3101,235510.5,10,210259.9,15,446846,26,198856.3,92,149046.3,7,0,0,38586,38,1724849.2,198,146916.7,2,0,0,80518.8,58,0,0,974,3,184331.9,100
2017,서울,강서구,41436825.6,46574,1307056.9,1617,5335657.6,3702,21142,8,0,0,2773492.9,1138,0,0,0,0,10454829.2,27442,166245.4,115,917083,113,106630.7,40,49511.7,63,15473.9,17,3993816,7037,416630.9,76,599794.7,273,3703376,649,670131.2,1308,189911.3,91,0,0,1420.9,9,1231928.2,466,39315.7,5,0,0,99305.4,109,3719,4,16053,23,9324300,2269
2017,서울,구로구,20119954.3,36535,494714,1176,361631,616,0,0,0,0,3056002.4,779,0,0,0,0,8260636.9,25843,586804.4,303,809988.2,154,29013.9,25,24332,36,7220,5,2848836.7,5314,936418.8,725,67389.1,82,968506.9,219,292986.5,422,101146,51,0,0,27073,28,857668.2,116,1125,1,0,0,104895.6,89,0,0,14246,4,269319.7,547
2017,서울,금천구,13020164,20060,42506,107,21894,67,0,0,0,0,2742391.9,319,0,0,0,0,5016366.3,15623,1297275.9,302,357113.6,51,16640.2,25,15924.4,21,16326.2,5,2021537.9,2782,213743.4,161,116769,43,620365,159,43881.6,157,44541.3,32,0,0,53981,13,238677.4,98,21949,2,0,0,29973.4,41,0,0,934,5,87372.5,47
2017,서울,영등포구,24548177.4,42122,31025,160,38162,252,0,0,0,0,66820.6,101,0,0,0,0,9472110,34021,324179.4,131,536525.7,75,41346.8,42,11878.4,22,15118.5,4,4270918.1,5876,257718,192,314714.3,137,8077596.2,475,27277.5,106,109721.9,12,0,0,92857.3,10,616951.7,181,16498,1,0,0,187550.6,79,0,0,131,5,39076.4,240
2017,서울,동작구,16354213.1,39821,34001,242,31983,169,0,0,0,0,2411925.9,1121,0,0,0,0,7852066.1,30929,782.1,2,977826,136,14995.6,27,10747.5,14,0,0,2348025.8,5671,144739,154,9385.5,9,639607.7,250,69503.8,214,713,1,0,0,141575.2,131,971389.6,330,1714,2,0,0,111124.3,120,0,0,513989,121,68119,178
2017,서울,관악구,29568848.6,46070,125416.5,352,57925,243,0,0,0,0,16101539,1265,0,0,0,0,8200851.2,36067,0,0,937666.3,128,17701.1,40,13968.9,28,0,0,2607616.5,6543,0,0,15639.7,7,546124.2,466,114796.7,176,0,0,0,0,37545,8,610234.4,214,10486.3,2,0,0,79249.9,127,0,0,26,2,92061.9,402
2017,서울,서초구,46985554.1,35307,2283604,2913,1814189,2026,5333,4,388,1,17960473.4,1978,0,0,0,0,12863147.7,20554,0,0,908894.7,105,28467.6,20,52283.1,61,2218,6,6262607.9,6020,2338.2,2,217284.6,42,2487329.2,421,302141,389,83683.6,3,0,0,72009.3,14,867845.5,247,1982.5,1,0,0,33647.9,30,0,0,18530,20,717155.9,450
2017,서울,강남구,39501152.3,34418,866744.1,1269,1080528.4,1331,0,0,0,0,6076431,793,0,0,0,0,16005701.6,24772,8331,4,1477403.1,120,54835.3,28,66435.5,101,829.3,2,6694889.7,4252,218424.5,98,114955.5,82,4026906.9,420,53728,132,101945.6,18,0,0,22897.6,8,1472681.2,299,6908.1,1,0,0,157852.2,53,0,0,30558,5,962165.7,630
2017,서울,송파구,33874855,33333,823101,831,916191,944,0,0,0,0,1659373,293,0,0,0,0,13759402.9,25229,0,0,1293844,96,102213.4,48,34702.2,60,15065,5,5819405.9,3938,64648,8,425613.7,149,5345337,611,53704.8,183,264642,8,0,0,7100.2,21,2174378,253,421953.4,13,17799,1,23087.3,19,223148.9,307,2516,9,427628.3,307
2017,서울,강동구,24588972,32111,1566570.7,2010,941968,1103,2670,2,0,0,2932542.2,944,0,0,0,0,8842889.7,21747,3514,2,720563.6,65,60506.5,60,28854.5,36,1969,1,3622923.1,4554,258637,41,338616.7,222,3312853.9,549,39773.5,119,43102.2,6,0,0,311388,5,1072702.2,193,3480,6,0,0,22030.9,35,97803,10,4039,14,359574.3,387
2017,부산,부산,770035675.8,730063,20541979.7,33951,71575021.8,69514,2255085,959,1889304,514,345625410.4,41262,383.1,54,60691,32,109070323.9,394455,27111768.9,10132,12439544.3,2258,1183297.1,1715,703280.8,820,1300837,1186,57532738.5,124874,4534464.3,3713,2512750.3,2702,43757808,5382,12603090.2,18956,1328422.6,1223,38307,34,3000040.9,1198,10640950,1986,4517472,322,2466061.6,59,1755870.4,1460,214911,138,2927786.1,1976,28448075.9,9188
2017,부산,중구,2825996.4,16936,2213,6,0,0,0,0,0,0,105907.7,44,0,0,0,0,1494396.2,13167,0,0,84300.7,38,31369.7,102,1242.2,14,2306.3,12,746615.6,3164,72189.4,8,0,0,14123.9,9,15647.2,161,0,0,0,0,40181.3,13,170431.6,128,0,0,0,0,23251.1,27,0,0,0,0,21820.5,43
2017,부산,서구,13978324.1,41832,422860.9,1226,44534,76,0,0,0,0,6781759.4,1136,0,0,0,0,3775110,31682,123053.3,42,461623.4,145,20497.2,46,6625.2,12,75103,31,1342040.2,6690,0,0,21474.3,12,22378.9,27,111488.1,295,1815,2,0,0,18462.5,34,25351.4,15,75491,3,18335.3,1,76816.4,56,0,0,133370.6,50,420134,251
2017,부산,동구,9736399.7,42365,52032,142,18870,34,0,0,0,0,2739820,691,0,0,0,0,3616043,32624,8783.9,3,209745.8,134,31004,121,12780,14,13836.3,17,1480047.7,7512,565150.6,359,4045.8,2,54175,8,132995.4,426,0,0,0,0,50961.4,77,15997.2,26,0,0,0,0,49615.1,82,516,1,19129,28,660851.5,64
2017,부산,영도구,14195627.9,37689,344781.2,1678,117825.9,363,0,0,0,0,3907259.3,1075,4,2,0,0,4107337.8,26026,733452.3,518,1016818.1,112,66879.9,67,53331,34,114831.3,22,1348776.6,6541,0,0,49872.7,30,0,0,144755.7,405,176,1,0,0,25128,21,109131.3,36,12876.8,1,1542761,18,110410.1,88,8625,6,56367,41,324226.9,604
2017,부산,부산진구,29665979.3,66564,86378.5,627,229420,1032,0,0,0,0,9666715.6,1672,3,1,0,0,9546905.1,49643,3622.9,14,1152248.9,236,45149.9,161,17738.1,32,13961.1,38,3136395.5,10507,1071657.6,686,0,0,269402.6,206,344852.8,934,962,6,0,0,56502,68,3526434.2,114,13978,2,6361.6,7,140486.7,116,0,0,65431,98,271372.2,364
2017,부산,동래구,16632894.3,36005,187993,621,115527.4,489,0,0,0,0,4416045,952,206,33,0,0,7087123.8,25509,11745.9,13,676996.4,168,30872.9,62,21637.1,39,17138.8,43,2351331.5,6702,102572.9,132,14438,28,545797.6,158,223429.8,438,204,7,0,0,98493,88,68176.1,44,194469,31,31352,6,119196.1,124,177532.1,97,26453,38,114162.9,183
2017,부산,남구,26812384,48134,270678,1664,114582,431,0,0,0,0,8402772.4,1926,0,0,0,0,8312867.1,32787,682601.1,177,1649756.3,272,81053.1,66,71207.3,54,82645,54,2738236.3,9192,33883.4,54,44736.3,15,112816.6,79,157365,513,39,2,0,0,35330.8,17,73120,33,234289.3,5,950,1,83580,80,93,1,196956,77,3432826,634
2017,부산,북구,39365981.3,22963,207017.6,542,663164.5,1234,2622,1,0,0,21986264.9,1705,0,0,0,0,6411438.1,13627,9169.7,14,920799.8,86,39955.3,76,31904.8,44,10848.7,18,2350861.4,4081,369374.7,146,69832,69,4713692.5,151,359173.1,623,6885,16,0,0,225740.9,116,482358.5,106,10767.3,3,0,0,85455.1,76,4873.4,3,165749,59,238033,167
2017,부산,해운대구,51473049,40417,804793.7,1219,977805.8,2124,21155,4,593,1,27763919.1,2662,159.7,14,0,0,9746385.6,23307,377597.9,153,1176234.5,170,167613.5,281,45408.9,65,73900,68,4009138.4,6669,348997.9,352,25978.8,36,1103081.2,347,637013.3,1092,25482.3,23,0,0,28863.2,16,758119.5,292,173597.6,9,0,0,155736.4,148,2078.5,2,34133,67,3015262.2,1296
2017,부산,사하구,41886457.7,42466,1705220.1,1428,163673,403,0,0,836,1,13373215.7,2280,1,1,0,0,8216677.3,27044,4598285.5,1979,903065.1,148,85623.3,94,99059,91,326019.6,135,3877627.7,7129,0,0,110169,40,3382687.8,168,296480.3,621,613,5,0,0,58476.1,42,452652.6,68,2022.1,1,0,0,95602.7,81,126,4,129217,95,4009107.8,608
2017,부산,금정구,65274389.4,46315,952720,1795,3181015.4,4057,836,1,1689,6,40747060,2968,0,0,0,0,7030494.9,25887,592829.8,366,1370835.8,181,69161.8,100,35524.5,56,32760.5,51,3889587.3,8035,332796,109,25225,48,1688575.7,284,726478.9,1005,52090,69,0,0,2061892.1,597,95371.7,51,1559705.3,102,229307,7,224683.7,133,1987,8,120053,118,251709,281
2017,부산,강서구,181491529.6,104589,8766292.2,10486,44139771.7,30008,62922,23,351366,263,41957446.6,4555,0,0,60691,32,11839411.9,22843,11826421.1,2028,720870.3,148,178464.3,129,84087,86,213221.6,233,13196488.3,16712,693672.8,379,1709218,2038,20765795.9,1677,6337903.5,8340,540475.6,541,11548,8,164337,33,2672718.4,522,264672.6,41,614952.7,14,96189.2,64,17880,12,359665,618,13845046.9,2756
2017,부산,연제구,12098570.9,27328,34630.2,241,27308.1,192,0,0,0,0,2947786.4,834,9.4,3,0,0,5606632.9,20332,12708.7,7,574576,102,63047.1,131,35849.1,52,4924.3,19,1756322.3,4569,81061,200,3473,6,115362,22,147751.3,291,565,7,0,0,14909,24,57334.3,24,370337,82,0,0,83059.1,65,0,0,82792,32,78132.7,93
2017,부산,수영구,10206904.2,21785,17428,118,4725,44,0,0,0,0,2342975,484,0,0,0,0,5222550.4,17069,25063,12,321317.3,77,26129.4,72,18586.3,32,7872.9,28,1611836.7,3324,0,0,25584,26,143309,39,92996.6,185,0,0,0,0,2532.5,2,84872.8,53,2108,1,0,0,163310.3,79,1200,4,2719,6,89788,130
2017,부산,사상구,36093166.9,25826,125887,614,409098.9,1075,0,0,0,0,12193344,1057,0,0,0,0,6610946.1,13975,3384459.7,3669,586741,129,37615.4,75,84605.3,95,116148.4,112,3243045.6,3510,219987,244,258746,43,7721679.1,264,454160,464,150810.6,16,0,0,52826,21,96686.6,54,9889,1,0,0,75263.3,58,0,0,51345.6,93,209882.3,257
2017,부산,기장군,218298021.1,108849,6561054.3,11544,21367700.1,27952,2167550,930,1534820,243,146293119.3,17221,0,0,0,0,10446003.7,18933,4721974.1,1137,613614.9,112,208860.3,132,83695,100,195319.2,305,10454387.4,20537,643121,1044,149957.4,309,3104930.2,1943,2420599.2,3163,548305.1,528,26759,26,65405.1,29,1952193.8,420,1593269,40,22042,5,173215.1,183,0,0,1484405.9,556,1465720,1457
2017,대구,대구,883603112.5,602016,40068122,49881,74063298.1,83838,2223927.1,1682,1366900,679,473003889.4,35157,6,2,0,0,88609696.5,261478,26557904.1,12400,10800369.3,1310,924069.6,822,600382.9,672,1096487.9,1466,58759349.2,102212,2684680.5,2235,3976515.1,6002,44219878.8,9935,11601709.2,14662,6027671.3,3265,34692,25,2301472.2,703,11504734.5,2096,2718899.8,181,424955,97,1363944.6,1022,53552,23,3984806.2,3713,14631199.2,6458
